TV,Radio,Newspaper,Sales,Total_Advertising
230.1,37.8,69.2,22.1,337.09999999999997
44.5,39.3,45.1,10.4,128.9
17.2,45.9,69.3,9.3,132.39999999999998
151.5,41.3,58.5,18.5,251.3
180.8,10.8,58.4,12.9,250.00000000000003
8.7,48.9,75.0,7.2,132.6
57.5,32.8,23.5,11.8,113.8
120.2,19.6,11.6,13.2,151.4
8.6,2.1,1.0,4.8,11.7
199.8,2.6,21.2,10.6,223.6
66.1,5.8,24.2,8.6,96.1
214.7,24.0,4.0,17.4,242.7
23.8,35.1,65.9,9.2,124.80000000000001
97.5,7.6,7.2,9.7,112.3
204.1,32.9,46.0,19.0,283.0
195.4,47.7,52.9,22.4,296.0
67.8,36.6,93.625,12.5,218.4
281.4,39.6,55.8,24.4,376.8
69.2,20.5,18.3,11.3,108.0
147.3,23.9,19.1,14.6,190.3
218.4,27.7,53.4,18.0,299.5
237.4,5.1,23.5,12.5,266.0
13.2,15.9,49.6,5.6,78.7
228.3,16.9,26.2,15.5,271.40000000000003
62.3,12.6,18.3,9.7,93.19999999999999
262.9,3.5,19.5,12.0,285.9
142.9,29.3,12.6,15.0,184.8
240.1,16.7,22.9,15.9,279.7
248.8,27.1,22.9,18.9,298.8
70.6,16.0,40.8,10.5,127.39999999999999
292.9,28.3,43.2,21.4,364.4
112.9,17.4,38.6,11.9,168.9
97.2,1.5,30.0,9.6,128.7
265.6,20.0,0.3,17.4,285.90000000000003
95.7,1.4,7.4,9.5,104.50000000000001
290.7,4.1,8.5,12.8,303.3
266.9,43.8,5.0,25.4,315.7
74.7,49.4,45.7,14.7,169.8
43.1,26.7,35.1,10.1,104.9
228.0,37.7,32.0,21.5,297.7
202.5,22.3,31.6,16.6,256.40000000000003
177.0,33.4,38.7,17.1,249.10000000000002
293.6,27.7,1.8,20.7,323.1
206.9,8.4,26.4,12.9,241.70000000000002
25.1,25.7,43.3,8.5,94.1
175.1,22.5,31.5,14.9,229.1
89.7,9.9,35.7,10.6,135.3
239.9,41.5,18.5,23.2,299.9
227.2,15.8,49.9,14.8,292.9
66.9,11.7,36.8,9.7,115.4
